pozycja,imię,liczba,udział,jedna na
1,Zuzanna,27924,0.043570591567052744,23
2,Julia,27030,0.04217565857532716,24
3,Zofia,25916,0.040437453482729514,25
4,Hanna,24827,0.03873825658341278,26
5,Maja,24788,0.03867740380189455,26
6,Lena,22220,0.034670482188078784,29
7,Alicja,18489,0.02884889942283477,35
8,Maria,17285,0.026970264834425824,37
9,Oliwia,17272,0.026949980573919747,37
10,Amelia,15676,0.024459697514866024,41
11,Laura,15499,0.024183519506437132,41
12,Wiktoria,13578,0.02118612993473149,47
13,Emilia,13510,0.021080027649007398,47
14,Pola,13472,0.021020735195220405,48
15,Aleksandra,13369,0.020860021438903028,48
16,Antonina,13213,0.020616610312830106,49
17,Marcelina,11429,0.01783298564030389,56
18,Natalia,10998,0.017160484388140884,58
19,Liliana,10918,0.017035658169641952,59
20,Iga,10690,0.01667990344691999,60
21,Helena,9804,0.015297453077044302,65
22,Michalina,9595,0.014971344581215839,67
23,Gabriela,9342,0.014576581665212961,69
24,Anna,8902,0.013890037463468827,72
25,Nadia,8583,0.01339229291720433,75
26,Klara,8527,0.013304914564255076,75
27,Kornelia,7911,0.012343752681813288,81
28,Milena,7048,0.010997189849756043,91
29,Jagoda,6693,0.010443273505167026,96
30,Łucja,6425,0.010025105673195598,100
31,Blanka,6406,0.009995459446302101,100
32,Martyna,6026,0.009402534908432167,106
33,Nikola,5969,0.009313596227751677,107
34,Nela,5798,0.009046780185710207,111
35,Kaja,5627,0.008779964143668736,114
36,Barbara,5176,0.008076256336881,124
37,Weronika,5015,0.007825043572151896,128
38,Anastazja,4975,0.007762630462902428,129
39,Nina,4906,0.007654967849447098,131
40,Karolina,4706,0.007342902303199764,136
41,Agata,4645,0.0072477223115943274,138
42,Lilianna,4442,0.006930975782153284,144
43,Magdalena,4279,0.006676642361961706,150
44,Matylda,3724,0.005810660471125355,172
45,Aniela,3537,0.005518879185384098,181
46,Kinga,3456,0.005392492639153928,185
47,Sara,3292,0.005136598891231114,195
48,Mia,3281,0.005119435286187511,195
49,Róża,3149,0.0049134720256642705,204
50,Rozalia,2773,0.004326788798719283,231
51,Małgorzata,2748,0.004287780605438367,233
52,Kalina,2738,0.004272177328126,234
53,Izabela,2717,0.004239410445770029,236
54,Eliza,2708,0.0042253674961889,237
55,Joanna,2691,0.004198841924757876,238
56,Paulina,2648,0.0041317478323147,242
57,Adrianna,2569,0.004008481941547002,249
58,Katarzyna,2265,0.003534142311251055,283
59,Marta,2230,0.003479530840657772,287
60,Ewa,2185,0.003409316092752122,293
61,Liwia,2160,0.003370307899471205,297
62,Marianna,2149,0.0033531442944276014,298
63,Dominika,2050,0.0031986718490351713,313
64,Melania,2048,0.003195551193572698,313
65,Urszula,2017,0.0031471810339043613,318
66,Aurelia,2010,0.0031362587397857048,319
67,Lidia,1994,0.003111293496085918,321
68,Klaudia,1889,0.0029474590843060677,339
69,Malwina,1875,0.002925614496068754,342
70,Gaja,1844,0.0028772443364004177,348
71,Patrycja,1791,0.002794546966644874,358
72,Bianka,1677,0.002616669605283894,382
73,Olga,1565,0.002441912899385387,410
74,Daria,1377,0.0021485712859128933,465
75,Zoja,1364,0.0021282870254068164,470
76,Dorota,1299,0.002026865722876433,493
