IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ZUZANNA,KOBIETA,8456
JULIA,KOBIETA,8189
ZOFIA,KOBIETA,7737
MAJA,KOBIETA,7435
HANNA,KOBIETA,7382
LENA,KOBIETA,6815
ALICJA,KOBIETA,5229
MARIA,KOBIETA,5139
OLIWIA,KOBIETA,4858
AMELIA,KOBIETA,4732
WIKTORIA,KOBIETA,4125
ALEKSANDRA,KOBIETA,4025
ANTONINA,KOBIETA,4013
LAURA,KOBIETA,3938
EMILIA,KOBIETA,3871
POLA,KOBIETA,3657
MARCELINA,KOBIETA,3341
NATALIA,KOBIETA,3277
LILIANA,KOBIETA,3154
IGA,KOBIETA,3042
HELENA,KOBIETA,2994
MICHALINA,KOBIETA,2847
GABRIELA,KOBIETA,2717
ANNA,KOBIETA,2516
NADIA,KOBIETA,2506
KLARA,KOBIETA,2433
KORNELIA,KOBIETA,2357
MILENA,KOBIETA,2157
JAGODA,KOBIETA,1945
ŁUCJA,KOBIETA,1873
MARTYNA,KOBIETA,1838
NIKOLA,KOBIETA,1814
NELA,KOBIETA,1748
KAJA,KOBIETA,1743
BLANKA,KOBIETA,1687
BARBARA,KOBIETA,1535
WERONIKA,KOBIETA,1492
ANASTAZJA,KOBIETA,1445
NINA,KOBIETA,1423
KAROLINA,KOBIETA,1409
AGATA,KOBIETA,1391
LILIANNA,KOBIETA,1291
MAGDALENA,KOBIETA,1255
MATYLDA,KOBIETA,1089
KINGA,KOBIETA,1050
ANIELA,KOBIETA,1028
SARA,KOBIETA,989
MIA,KOBIETA,980
RÓŻA,KOBIETA,888
KALINA,KOBIETA,857
IZABELA,KOBIETA,840
MAŁGORZATA,KOBIETA,804
JOANNA,KOBIETA,788
PAULINA,KOBIETA,764
ELIZA,KOBIETA,760
ADRIANNA,KOBIETA,751
ROZALIA,KOBIETA,725
KATARZYNA,KOBIETA,702
MARIANNA,KOBIETA,664
EWA,KOBIETA,653
MARTA,KOBIETA,630
MELANIA,KOBIETA,624
URSZULA,KOBIETA,604
LIDIA,KOBIETA,588
DOMINIKA,KOBIETA,583
AURELIA,KOBIETA,579
LIWIA,KOBIETA,557
PATRYCJA,KOBIETA,545
KLAUDIA,KOBIETA,527
MALWINA,KOBIETA,521
BIANKA,KOBIETA,483
OLGA,KOBIETA,450
GAJA,KOBIETA,421
ZOJA,KOBIETA,419
DARIA,KOBIETA,418
DOROTA,KOBIETA,396
KAMILA,KOBIETA,362
JAGNA,KOBIETA,341
APOLONIA,KOBIETA,340
WANDA,KOBIETA,340
IDA,KOBIETA,337
MARIKA,KOBIETA,336
DIANA,KOBIETA,330
ELENA,KOBIETA,327
ADA,KOBIETA,327
DAGMARA,KOBIETA,295
OLIVIA,KOBIETA,275
RITA,KOBIETA,266
ROKSANA,KOBIETA,262
STEFANIA,KOBIETA,249
AGNIESZKA,KOBIETA,249
INGA,KOBIETA,246
SANDRA,KOBIETA,239
LILIA,KOBIETA,227
JADWIGA,KOBIETA,223
LEA,KOBIETA,221
EMMA,KOBIETA,217
LUIZA,KOBIETA,208
SOFIA,KOBIETA,202
JOWITA,KOBIETA,193
JULITA,KOBIETA,191
MONIKA,KOBIETA,183
NEL,KOBIETA,178
JUSTYNA,KOBIETA,176
MARLENA,KOBIETA,176
JANINA,KOBIETA,175
NATASZA,KOBIETA,175
ELŻBIETA,KOBIETA,174
KARINA,KOBIETA,174
ADELA,KOBIETA,173
LARA,KOBIETA,170
CELINA,KOBIETA,161
LILA,KOBIETA,159
TOLA,KOBIETA,155
JAŚMINA,KOBIETA,152
SONIA,KOBIETA,148
VICTORIA,KOBIETA,147
ALINA,KOBIETA,144
EWELINA,KOBIETA,135
FELICJA,KOBIETA,133
ANITA,KOBIETA,132
IZABELLA,KOBIETA,130
KRYSTYNA,KOBIETA,127
JULIANNA,KOBIETA,124
JUDYTA,KOBIETA,117
ESTERA,KOBIETA,117
VANESSA,KOBIETA,114
NOEMI,KOBIETA,113
KONSTANCJA,KOBIETA,111
MAYA,KOBIETA,108
FAUSTYNA,KOBIETA,104
NICOLA,KOBIETA,103
SABINA,KOBIETA,100
OTYLIA,KOBIETA,100
PAULA,KOBIETA,99
MILA,KOBIETA,94
ANTONIA,KOBIETA,91
IRENA,KOBIETA,88
LIVIA,KOBIETA,86
FLORENTYNA,KOBIETA,81
ADRIANA,KOBIETA,79
INKA,KOBIETA,76
OKTAWIA,KOBIETA,75
GLORIA,KOBIETA,74
INES,KOBIETA,74
TERESA,KOBIETA,73
FRANCISZKA,KOBIETA,72
AMANDA,KOBIETA,72
MALINA,KOBIETA,70
TAMARA,KOBIETA,70
SYLWIA,KOBIETA,69
OLA,KOBIETA,68
LUCYNA,KOBIETA,64
KLEMENTYNA,KOBIETA,64
EDYTA,KOBIETA,63
EMILY,KOBIETA,59
VIKTORIA,KOBIETA,59
NICOLE,KOBIETA,58
ARIANA,KOBIETA,58
MAGDA,KOBIETA,56
SOPHIA,KOBIETA,56
MILANA,KOBIETA,54
HONORATA,KOBIETA,52
DANUTA,KOBIETA,51
TATIANA,KOBIETA,49
JESSICA,KOBIETA,49
JANA,KOBIETA,49
MIRA,KOBIETA,49
KIRA,KOBIETA,47
SAMANTA,KOBIETA,47
ROMA,KOBIETA,47
ANETA,KOBIETA,47
LETYCJA,KOBIETA,45
AURORA,KOBIETA,45
JÓZEFINA,KOBIETA,43
MIRIAM,KOBIETA,43
BEATA,KOBIETA,43
HALINA,KOBIETA,43
NAOMI,KOBIETA,42
ANGELIKA,KOBIETA,42
IRMINA,KOBIETA,41
POLINA,KOBIETA,41
STELLA,KOBIETA,41
MARCJANNA,KOBIETA,40
DOBRAWA,KOBIETA,40
SOPHIE,KOBIETA,40
CARMEN,KOBIETA,39
ALISA,KOBIETA,38
MELISA,KOBIETA,36
OLIMPIA,KOBIETA,36
NELIA,KOBIETA,36
ZOE,KOBIETA,36
CECYLIA,KOBIETA,36
ILONA,KOBIETA,35
NELLA,KOBIETA,35
